iter	Logloss
148	0.4489508715
149	0.4477415038
150	0.4469240284
151	0.4458258433
152	0.4447396363
153	0.4435127775
154	0.4424757969
155	0.4413724974
156	0.4402570982
157	0.4393529413
158	0.438232762
159	0.4370710172
160	0.4358456497
161	0.4346711928
162	0.4331638392
163	0.4320605117
164	0.430929856
165	0.4296781047
166	0.4284835177
167	0.4275715784
168	0.4268728869
169	0.4257969903
170	0.4247356992
171	0.4241277295
172	0.4229358493
173	0.4218958885
174	0.4209714135
175	0.4198887056
176	0.4187605545
177	0.4174630782
178	0.4166807234
179	0.4158134332
180	0.4146285279
181	0.4136928308
182	0.4124489555
183	0.4114199176
184	0.4105343515
185	0.4094096586
186	0.4085361554
187	0.4075124351
188	0.4061573095
189	0.405373568
190	0.4043871883
191	0.4033137507
192	0.4023070119
193	0.4014040389
194	0.4003328506
195	0.3995654121
196	0.3986945106
197	0.3978406495
198	0.39683747
199	0.3956416238
200	0.3945578775
201	0.3936378716
202	0.3928217169
203	0.3922683071
204	0.3913383548
205	0.3903080085
206	0.3893233947
207	0.3879338158
208	0.3869239291
209	0.3857874713
210	0.3844426485
211	0.3833082844
212	0.3824294408
213	0.3815553457
214	0.3805328876
215	0.3797229558
216	0.3788545114
217	0.3779850544
218	0.3771142843
219	0.3763357757
220	0.3752408437
221	0.3749245919
222	0.3742349639
223	0.3737195356
224	0.3728497291
225	0.3719494822
226	0.3708770047
227	0.3700159543
228	0.3692405557
229	0.3682744065
230	0.3672917187
231	0.3665841426
232	0.3656940028
233	0.3653768827
234	0.3644613156
235	0.3637514634
236	0.3630544023
237	0.3621069099
238	0.3610435426
239	0.3604059401
240	0.3595040078
241	0.3587692205
242	0.3580068326
243	0.3570416073
244	0.3562806389
245	0.3554730322
246	0.3545982557
247	0.3537227289
248	0.3529367727
249	0.3521855053
250	0.3512065393
251	0.3503261045
252	0.3499424826
253	0.3490736344
254	0.3483488963
255	0.3474345055
256	0.34664818
257	0.3459003883
258	0.3449275692
259	0.3440295645
260	0.343324469
261	0.3426461272
262	0.3421456603
263	0.3411528597
264	0.3402160114
265	0.3395266995
266	0.3387418261
267	0.3380536425
268	0.3369038327
269	0.3362360129
270	0.3352174192
271	0.3342618948
272	0.3332992593
273	0.3326928534
274	0.3319223465
275	0.3311372066
276	0.3302377375
277	0.3291166694
278	0.3284506447
279	0.3277805185
280	0.3271553996
281	0.3265997645
282	0.3258752694
283	0.3251676034
284	0.324437045
285	0.3236944313
286	0.323100921
287	0.3222831248
288	0.3216314544
289	0.3209945659
290	0.3202493576
291	0.3196155914
292	0.3191685098
293	0.3184454704
294	0.3178709144
295	0.3172104698
296	0.3163548071
297	0.3155285687
298	0.314790049
299	0.3140952184
300	0.3136271303
301	0.3130619018
302	0.3122857371
303	0.3114224672
304	0.3108859144
305	0.3101214071
306	0.3094694866
307	0.3088670507
308	0.3081336489
309	0.3074964787
310	0.3067192558
311	0.3057835622
312	0.3053071698
313	0.3047691642
314	0.3041289092
315	0.3034475849
316	0.3026831244
317	0.3018768412
318	0.3011470121
319	0.3005652393
320	0.2999729841
321	0.2993711823
322	0.2986278692
323	0.2978841949
324	0.2973554181
325	0.2969185973
326	0.2962209898
327	0.2955413215
328	0.2949354514
329	0.294228424
330	0.2936898639
331	0.292997646
332	0.2922090941
333	0.2915667219
334	0.2909484944
335	0.2904548207
336	0.2898802237
337	0.289370971
338	0.2888447087
339	0.288090821
340	0.2876246285
341	0.2872291394
342	0.2866875705
343	0.2861197842
344	0.285428105
345	0.2848238068
346	0.2844308831
347	0.2838631693
348	0.2832495588
349	0.2826596008
350	0.2820652379
351	0.2815174016
352	0.2807982342
353	0.2801099706
354	0.2794852561
355	0.2788228585
356	0.2782115451
357	0.2777547275
358	0.2771029589
359	0.2763051174
360	0.2757166601
361	0.2750384597
362	0.2748471598
363	0.2744208989
364	0.2737299198
365	0.2732060055
366	0.2726215668
367	0.2720588042
368	0.271268186
369	0.2707082682
370	0.2702609686
371	0.2698338441
372	0.269331679
373	0.2687548983
374	0.2680964563
375	0.2675839598
376	0.2669359481
377	0.2663615913
378	0.265646827
379	0.2652528748
380	0.2646567933
381	0.2641306689
382	0.2635529322
383	0.2630922876
384	0.2624735371
385	0.2618400583
386	0.2611875587
387	0.2606921459
388	0.260188302
389	0.2597656642
390	0.2591077037
391	0.2584034678
392	0.2579603505
393	0.2574860787
394	0.2565720391
395	0.2560263375
396	0.2555498843
397	0.254926387
398	0.2544395561
399	0.2539934779
400	0.2535218941
401	0.2530711714
402	0.2524905637
403	0.2519890187
404	0.2514947828
405	0.2512521253
406	0.2508613479
407	0.2502138264
408	0.2497582512
409	0.249245075
410	0.2486827747
411	0.2482422152
412	0.2477616118
413	0.2473116418
414	0.2468937548
415	0.2467409793
416	0.2462596075
417	0.2458311267
418	0.2455549737
419	0.2451115847
420	0.2445885007
421	0.244147507
422	0.2438492728
423	0.2433093693
424	0.2426858562
425	0.2423263876
426	0.241793764
427	0.2414052837
428	0.2409055478
429	0.2404856688
430	0.2399429895
431	0.2395582199
432	0.2391181442
433	0.238458073
434	0.2379643403
435	0.2376669125
436	0.2371668675
437	0.2368274688
438	0.2365472299
439	0.2361378418
440	0.2356934571
441	0.2354276619
442	0.2350358653
443	0.2348547765
444	0.23447504
445	0.2339707292
446	0.2335159107
447	0.2330760915
448	0.2326391322
449	0.2322320932
450	0.2318107258
451	0.2311857197
452	0.2305836981
453	0.2300680379
454	0.2296058693
455	0.2291599039
456	0.2287613942
457	0.2285738009
458	0.2280828889
459	0.2276831082
460	0.2272087809
461	0.2268518957
462	0.2265420024
463	0.2260867556
464	0.2259928625
465	0.2255724663
466	0.2250868906
467	0.2248404014
468	0.2243825752
469	0.2239418287
470	0.2235960756
471	0.2231473064
472	0.2226726588
473	0.2223628216
474	0.2218325074
475	0.2214951387
476	0.2210556082
477	0.2206916488
478	0.2203866051
479	0.2200310008
480	0.2196652036
481	0.2193392077
482	0.2189554905
483	0.2186657798
484	0.2183462697
485	0.2179497428
486	0.2176461179
487	0.2172666636
488	0.2168842817
489	0.2165019623
490	0.2160218154
491	0.2158071235
492	0.2154652424
493	0.2150968372
494	0.2146697594
495	0.2142929914
496	0.2137901362
497	0.2134410231
498	0.213038493
499	0.2127228993
500	0.2123047873
501	0.2118757729
502	0.2115359762
503	0.2111023285
504	0.2107613899
505	0.2104628559
506	0.210072674
507	0.2096197704
508	0.2092389827
509	0.2087794011
510	0.2084020522
511	0.2080682037
512	0.2077844967
513	0.2073020333
514	0.207073051
515	0.2067444336
516	0.2063550867
517	0.2060393042
518	0.2057563119
519	0.2054592517
520	0.2049892597
521	0.2046960446
522	0.2043088441
523	0.2040207117
524	0.2036655013
525	0.2032959917
526	0.2028569743
527	0.2025170987
528	0.202119278
529	0.2015957797
530	0.2012334384
531	0.2008795791
532	0.2005302479
533	0.2002301689
534	0.1998289327
535	0.1994703885
536	0.1989542579
537	0.19867521
538	0.1983186778
539	0.1979958497
540	0.1977302824
541	0.1973340137
542	0.1970190505
543	0.1966225668
544	0.1963054772
545	0.1960122036
546	0.195703912
547	0.1953251742
548	0.1949542556
549	0.194602479
550	0.1943628017
551	0.1940720555
552	0.1937253908
553	0.1934260551
554	0.1931479275
555	0.1928075651
556	0.1924592029
557	0.192152035
558	0.1918067453
559	0.1915685003
560	0.1912900017
561	0.1910369233
562	0.1907020948
563	0.1904185274
564	0.1901212446
565	0.1898552547
566	0.1895501432
567	0.1893170821
568	0.1890366562
569	0.188739672
570	0.1884549663
571	0.1880610451
572	0.1876670274
573	0.1873525451
574	0.1870294476
575	0.1867419306
576	0.1864955647
577	0.1861681821
578	0.1858892388
579	0.185577416
580	0.1852571701
581	0.1849723873
582	0.1845533193
583	0.1843323801
584	0.1839715891
585	0.1836692592
586	0.1833902428
587	0.1829869134
588	0.1826308586
589	0.1823278905
590	0.1820141211
591	0.1816579992
592	0.1814062403
593	0.1811571063
594	0.1810136455
595	0.1807372921
596	0.1804461035
597	0.1803832919
598	0.1801462436
599	0.1798687618
600	0.1796289601
601	0.179458655
602	0.1790776077
603	0.1786815296
604	0.1784601591
605	0.1780981071
606	0.1778150844
607	0.1775198637
608	0.177205988
609	0.1769267338
610	0.176604403
611	0.1764562504
612	0.1762277677
613	0.1759258439
614	0.1755497865
615	0.1752520391
616	0.1749071011
617	0.174655285
618	0.1743529795
619	0.1740242231
620	0.1737820091
621	0.1735929619
622	0.1732014879
623	0.1729148106
624	0.172556343
625	0.1722802941
626	0.1721349627
627	0.1718421631
628	0.1716277447
629	0.1713680426
630	0.1710591293
631	0.1707979458
632	0.1705821203
633	0.1702974661
634	0.1699709524
635	0.1697196686
636	0.1694010975
637	0.1691828101
638	0.1690076023
639	0.1688528815
640	0.1685618822
641	0.1683879915
642	0.1681214653
643	0.1677584695
644	0.1674931453
645	0.1672708889
646	0.1670109127
647	0.1667957294
648	0.1665355762
649	0.1661904513
650	0.1659200378
651	0.1657496036
652	0.1654587715
653	0.165334237
654	0.1651305194
655	0.1648353052
656	0.1646480876
657	0.1643705771
658	0.1640803644
659	0.1638577978
660	0.1636340519
661	0.1633526858
662	0.1631514921
663	0.1629672109
664	0.1627851462
665	0.1625791362
666	0.1622220424
667	0.1619400031
668	0.1616958748
669	0.1614926072
670	0.1612840838
671	0.1610598453
672	0.1608306958
673	0.160564661
674	0.1602373521
675	0.1599996306
676	0.1597262194
677	0.1594587979
678	0.1592253149
679	0.1589416359
680	0.158629747
681	0.1583782984
682	0.1581472497
683	0.1578246671
684	0.1576063849
685	0.1574117956
686	0.1572084141
687	0.1569406542
688	0.1566012361
689	0.1563247022
690	0.1561409743
691	0.1559568644
692	0.1556903136
693	0.1554426381
694	0.1552644331
695	0.1549384822
696	0.1547155491
697	0.1545723212
698	0.1543763622
699	0.1542052145
700	0.1539217391
701	0.1536408277
702	0.1533873236
703	0.1530982773
704	0.1528697473
705	0.1525952179
706	0.1524325037
707	0.1522040066
708	0.1520228269
709	0.1517485649
710	0.1514331754
711	0.1511368749
712	0.1509849581
713	0.1507500293
714	0.1505358532
715	0.1502858468
716	0.150138012
717	0.1499353624
718	0.1497175688
719	0.1494240305
720	0.1492551387
721	0.1490497332
722	0.148857155
723	0.148772401
724	0.1485947674
725	0.1484406684
726	0.1482014545
727	0.1480355546
728	0.147759094
729	0.1474965644
730	0.1473433206
731	0.1471290594
732	0.1468836563
733	0.1466627758
734	0.1463670666
735	0.1461786978
736	0.1459582854
737	0.1457402846
738	0.1454591886
739	0.1452609789
740	0.145052341
741	0.1448558586
742	0.1447092905
743	0.1445465108
744	0.1443103786
745	0.1440849874
746	0.1438872937
747	0.1436597538
748	0.1433915379
749	0.1431494221
750	0.1429447053
751	0.1426430982
752	0.1424761686
753	0.1423058992
754	0.142073217
755	0.1418993295
756	0.1417240547
757	0.1414887806
758	0.1412478075
759	0.1410438959
760	0.1407958322
761	0.1405823514
762	0.1404156992
763	0.1402382187
764	0.1399998545
765	0.1398355566
766	0.1396436899
767	0.1394806542
768	0.1392813407
769	0.1391120083
770	0.1389512271
771	0.1387245103
772	0.1385627447
773	0.1383926196
774	0.1381607471
775	0.1378992501
776	0.137762425
777	0.1376965204
778	0.1375501556
779	0.1373598123
780	0.1371321742
781	0.1369158427
782	0.1367256703
783	0.1365456678
784	0.1363436919
785	0.1361655239
786	0.1360232734
787	0.1358219967
788	0.1356621043
789	0.1354013527
790	0.1350928101
791	0.1349001439
792	0.1347826138
793	0.1346113828
794	0.1344168654
795	0.1341788319
796	0.1339995405
797	0.1337821977
798	0.1337146254
799	0.1334609851
800	0.1332732161
801	0.1331270869
802	0.1329112219
803	0.1327701965
804	0.1325996217
805	0.1323774781
806	0.1322112738
807	0.1320429853
808	0.1317874591
809	0.1316189474
810	0.1314103831
811	0.1311331345
812	0.1309239479
813	0.1307312192
814	0.1305832951
815	0.1304667113
816	0.1302803325
817	0.1301327208
818	0.1299617191
819	0.1298013955
820	0.1296696312
821	0.1294838348
822	0.1293352062
823	0.1291408314
824	0.1289530969
825	0.1287677066
826	0.1286618295
827	0.128448602
828	0.1282563072
829	0.1280880866
830	0.1278928737
831	0.1277475573
832	0.1275682093
833	0.1273518888
834	0.1272445187
835	0.1270206129
836	0.1267993056
837	0.1266165794
838	0.1264611816
839	0.1263187291
840	0.126145033
841	0.1259791422
842	0.1257895138
843	0.1256254774
844	0.1254725985
845	0.1252650817
846	0.1251075703
847	0.1249471105
848	0.1247550787
849	0.1245568976
850	0.1244124683
851	0.1242372686
852	0.1240605499
853	0.1238777231
854	0.1237050423
855	0.1235916346
856	0.1234636865
857	0.1232904076
858	0.1231027059
859	0.122896595
860	0.1227654385
861	0.122618544
862	0.1224221076
863	0.1222919015
864	0.1221556301
865	0.1220486231
866	0.1218839954
867	0.1217144155
868	0.1215648821
869	0.1214304838
870	0.1211885477
871	0.1210342175
872	0.1208101917
873	0.1206720416
874	0.1205467211
875	0.1203506875
876	0.1201605782
877	0.120064613
878	0.1199263025
879	0.119772081
880	0.1196489778
881	0.1193870251
882	0.1192286406
883	0.1190815112
884	0.1189137528
885	0.1187608493
886	0.1185925106
887	0.1184861049
888	0.1183049384
889	0.118148631
890	0.1179420805
891	0.1177923346
892	0.1176031577
893	0.1174672228
894	0.1173062339
895	0.1171190984
896	0.1169162699
897	0.116769528
898	0.1166433172
899	0.1164946179
900	0.1163222021
901	0.1161880224
902	0.1160168408
903	0.1158500071
904	0.1157613741
905	0.1156171262
906	0.1154659075
907	0.1153441805
908	0.115197866
909	0.115047792
910	0.1149002831
911	0.1147302202
912	0.1145879112
913	0.1144188762
914	0.114275911
915	0.1140713034
916	0.1139311434
917	0.1137218543
918	0.1135882285
919	0.1134527203
920	0.1133249957
921	0.1132073417
922	0.1130971225
923	0.1129674751
924	0.1128203477
925	0.1126884161
926	0.1125019529
927	0.1123898593
928	0.1122301279
929	0.1120419131
930	0.1119343609
931	0.1117597509
932	0.1117077309
933	0.111548581
934	0.1114033595
935	0.1112188574
936	0.1111011312
937	0.1109433341
938	0.1108094366
939	0.1107048725
940	0.1105790241
941	0.1104242062
942	0.1102806879
943	0.1101876363
944	0.1100146084
945	0.1098855395
946	0.1097744741
947	0.1096539486
948	0.1094740737
949	0.1093346485
950	0.1091936304
951	0.1090241936
952	0.1088973897
953	0.1087830444
954	0.1086449828
955	0.1085108332
956	0.1083619747
957	0.1082539366
958	0.1081059169
959	0.1079843003
960	0.107853952
961	0.1077288115
962	0.1076008061
963	0.1074586964
964	0.1073366295
965	0.1072145651
966	0.1071151705
967	0.1069835904
968	0.1068698977
969	0.1066832919
970	0.1065469028
971	0.1064470004
972	0.1062785387
973	0.1061245787
974	0.1059937179
975	0.1058710913
976	0.1057146811
977	0.1056157079
978	0.1054810429
979	0.1053221229
980	0.1051790434
981	0.1051031076
982	0.1049710194
983	0.1048410012
984	0.1047076337
985	0.1046133801
986	0.1044867632
987	0.1043005177
988	0.1041370361
989	0.103988594
990	0.1038124392
991	0.1036553251
992	0.1035534181
993	0.1034117236
994	0.1032686739
995	0.1031834553
996	0.1030341618
997	0.1029364841
998	0.1028868544
999	0.1028202065
